
These predictions were generated by HydroDyn on 12-Aug-2019 at 11:27:38.




    Time            Wave1Elev              M1N1Vxi              M1N1Vzi              M1N1Axi              M1N1Azi             M1N1FDxi             M1N1FDzi             M1N1FIxi             M1N1FIzi             M1N1FAxi             M1N1FAzi
   (sec)                  (m)                (m/s)                (m/s)              (m/s^2)              (m/s^2)                (N/m)                (N/m)                (N/m)                (N/m)                (N/m)                (N/m)
    1.0750           3.1138E+00           4.5684E-01          -9.2032E-01          -7.3334E-01          -2.2634E-01           8.2596E+02          -5.2119E+02          -4.1655E+03           2.6285E+03           0.0000E+00           0.0000E+00
    1.1000           3.0730E+00           4.3826E-01          -9.2553E-01          -7.3749E-01          -2.1713E-01           8.0180E+02          -5.0594E+02          -4.2357E+03           2.6728E+03           0.0000E+00           0.0000E+00
    1.1250           3.0322E+00           4.1968E-01          -9.3074E-01          -7.4164E-01          -2.0793E-01           7.7799E+02          -4.9092E+02          -4.3060E+03           2.7171E+03           0.0000E+00           0.0000E+00
    1.1500           2.9915E+00           4.0110E-01          -9.3595E-01          -7.4579E-01          -1.9872E-01           7.5454E+02          -4.7612E+02          -4.3763E+03           2.7615E+03           0.0000E+00           0.0000E+00
    1.1750           2.9507E+00           3.8252E-01          -9.4115E-01          -7.4994E-01          -1.8952E-01           7.3145E+02          -4.6155E+02          -4.4465E+03           2.8058E+03           0.0000E+00           0.0000E+00
    1.2000           2.9100E+00           3.6394E-01          -9.4636E-01          -7.5409E-01          -1.8031E-01           7.0871E+02          -4.4721E+02          -4.5168E+03           2.8501E+03           0.0000E+00           0.0000E+00
    1.2250           2.8692E+00           3.4536E-01          -9.5157E-01          -7.5824E-01          -1.7111E-01           6.8634E+02          -4.3309E+02          -4.5870E+03           2.8944E+03           0.0000E+00           0.0000E+00
    1.2500           2.8284E+00           3.2678E-01          -9.5678E-01          -7.6239E-01          -1.6190E-01           6.6433E+02          -4.1920E+02          -4.6573E+03           2.9388E+03           0.0000E+00           0.0000E+00
    1.2750           2.7807E+00           3.0740E-01          -9.5963E-01          -7.6467E-01          -1.5230E-01           6.3946E+02          -4.0350E+02          -4.7160E+03           2.9759E+03           0.0000E+00           0.0000E+00
    1.3000           2.7330E+00           2.8802E-01          -9.6249E-01          -7.6694E-01          -1.4270E-01           6.1506E+02          -3.8811E+02          -4.7748E+03           3.0130E+03           0.0000E+00           0.0000E+00
    1.3250           2.6852E+00           2.6863E-01          -9.6534E-01          -7.6921E-01          -1.3309E-01           5.9114E+02          -3.7301E+02          -4.8336E+03           3.0500E+03           0.0000E+00           0.0000E+00
    1.3500           2.6375E+00           2.4925E-01          -9.6819E-01          -7.7149E-01          -1.2349E-01           5.6769E+02          -3.5822E+02          -4.8924E+03           3.0871E+03           0.0000E+00           0.0000E+00
    1.3750           2.5898E+00           2.2986E-01          -9.7105E-01          -7.7376E-01          -1.1388E-01           5.4472E+02          -3.4372E+02          -4.9512E+03           3.1242E+03           0.0000E+00           0.0000E+00
    1.4000           2.5421E+00           2.1048E-01          -9.7390E-01          -7.7603E-01          -1.0428E-01           5.2222E+02          -3.2953E+02          -5.0100E+03           3.1613E+03           0.0000E+00           0.0000E+00
    1.4250           2.4943E+00           1.9110E-01          -9.7675E-01          -7.7831E-01          -9.4678E-02           5.0020E+02          -3.1563E+02          -5.0687E+03           3.1984E+03           0.0000E+00           0.0000E+00
    1.4500           2.4466E+00           1.7171E-01          -9.7960E-01          -7.8058E-01          -8.5074E-02           4.7865E+02          -3.0203E+02          -5.1275E+03           3.2355E+03           0.0000E+00           0.0000E+00
    1.4750           2.3989E+00           1.5233E-01          -9.8246E-01          -7.8285E-01          -7.5470E-02           4.5758E+02          -2.8874E+02          -5.1863E+03           3.2726E+03           0.0000E+00           0.0000E+00
    1.5000           2.3511E+00           1.3295E-01          -9.8531E-01          -7.8513E-01          -6.5867E-02           4.3698E+02          -2.7574E+02          -5.2451E+03           3.3097E+03           0.0000E+00           0.0000E+00
    1.5250           2.2976E+00           1.1323E-01          -9.8574E-01          -7.8547E-01          -5.6101E-02           4.1475E+02          -2.6171E+02          -5.2910E+03           3.3386E+03           0.0000E+00           0.0000E+00
    1.5500           2.2441E+00           9.3523E-02          -9.8616E-01          -7.8581E-01          -4.6335E-02           3.9311E+02          -2.4806E+02          -5.3368E+03           3.3676E+03           0.0000E+00           0.0000E+00
    1.5750           2.1906E+00           7.3812E-02          -9.8659E-01          -7.8615E-01          -3.6569E-02           3.7204E+02          -2.3476E+02          -5.3827E+03           3.3965E+03           0.0000E+00           0.0000E+00
    1.6000           2.1371E+00           5.4100E-02          -9.8702E-01          -7.8649E-01          -2.6804E-02           3.5156E+02          -2.2184E+02          -5.4286E+03           3.4255E+03           0.0000E+00           0.0000E+00
    1.6250           2.0836E+00           3.4389E-02          -9.8744E-01          -7.8683E-01          -1.7038E-02           3.3166E+02          -2.0928E+02          -5.4744E+03           3.4544E+03           0.0000E+00           0.0000E+00
    1.6500           2.0300E+00           1.4678E-02          -9.8787E-01          -7.8717E-01          -7.2721E-03           3.1233E+02          -1.9708E+02          -5.5203E+03           3.4834E+03           0.0000E+00           0.0000E+00
    1.6750           1.9765E+00          -5.0332E-03          -9.8830E-01          -7.8751E-01           2.4937E-03           2.9359E+02          -1.8526E+02          -5.5662E+03           3.5123E+03           0.0000E+00           0.0000E+00
    1.7000           1.9230E+00          -2.4745E-02          -9.8873E-01          -7.8785E-01           1.2260E-02           2.7542E+02          -1.7379E+02          -5.6120E+03           3.5412E+03           0.0000E+00           0.0000E+00
    1.7250           1.8695E+00          -4.4456E-02          -9.8915E-01          -7.8819E-01           2.2025E-02           2.5784E+02          -1.6270E+02          -5.6579E+03           3.5702E+03           0.0000E+00           0.0000E+00
    1.7500           1.8160E+00          -6.4167E-02          -9.8958E-01          -7.8853E-01           3.1791E-02           2.4083E+02          -1.5197E+02          -5.7038E+03           3.5991E+03           0.0000E+00           0.0000E+00
    1.7750           1.7580E+00          -8.3720E-02          -9.8757E-01          -7.8693E-01           4.1479E-02           2.2327E+02          -1.4088E+02          -5.7356E+03           3.6192E+03           0.0000E+00           0.0000E+00
    1.8000           1.7000E+00          -1.0327E-01          -9.8556E-01          -7.8533E-01           5.1166E-02           2.0636E+02          -1.3022E+02          -5.7674E+03           3.6393E+03           0.0000E+00           0.0000E+00
    1.8250           1.6420E+00          -1.2283E-01          -9.8355E-01          -7.8372E-01           6.0854E-02           1.9013E+02          -1.1997E+02          -5.7992E+03           3.6594E+03           0.0000E+00           0.0000E+00
